c0,c1,c2,c3,c4,c5,c6,c7,label,timestamp
-0.014390835391382622,-0.012481057641632275,-0.01956734294502055,-0.019748034447197253,-0.017765524120989338,-0.018762434275440488,-0.018847415607859564,-0.01955276960763569,1,1561027387783
-0.014371814056851156,-0.012462818618156745,-0.019547740465133245,-0.019728029635909753,-0.017745765178890847,-0.01874285414729764,-0.018827947238438992,-0.019533725921359768,1,1561027387789
-0.014355229062465318,-0.012446144216793086,-0.01953048491841375,-0.019710930551401443,-0.017728576687404716,-0.018725620952322598,-0.0188111387266086,-0.019515866877539978,1,1561027387790
-0.014350624603107525,-0.01244127153650183,-0.019526036921267143,-0.019706482554254837,-0.017724352207702663,-0.01872099414122035,-0.01880662367422863,-0.01951048010712625,1,1561027387796
-0.014340901594269465,-0.012431325010219218,-0.019517029168251654,-0.019697407746005983,-0.017715299751198264,-0.018711785222504763,-0.01879538074676761,-0.019501070022710565,1,1561027387796
-0.01432492009698392,-0.01241541056816704,-0.019501606464577492,-0.01968164976616499,-0.017699094736468163,-0.018696004890919316,-0.01877908632505969,-0.019485736726014224,1,1561027387802
-0.0143018754484505,-0.012392410623122529,-0.019478025374177144,-0.019657711047853358,-0.017675312480367716,-0.01867206617260768,-0.01875590756605954,-0.019462736780969714,1,1561027387808
-0.014285133991853475,-0.012375423297336494,-0.01946056866175755,-0.01964029903892267,-0.01765819104411495,-0.01865463181193254,-0.018739836661796173,-0.01944485538540547,1,1561027387808
-0.014276595625471547,-0.012366549654787737,-0.019452298516309086,-0.01963211830045203,-0.017650256174833318,-0.01864629461125071,-0.018731454757625433,-0.01943542294924533,1,1561027387814
-0.01426729729977814,-0.012357161922116508,-0.01944384955690498,-0.01962387050674802,-0.017641941325895943,-0.018637979762313336,-0.018722290542398757,-0.019427108100307955,1,1561027387814
-0.014253349811238028,-0.012343594413232137,-0.019430349103253974,-0.01961025829437474,-0.01762794913386692,-0.018624076977262136,-0.01870903595793676,-0.01941365235014586,1,1561027387821
-0.014235133139506953,-0.012325511851967794,-0.019411484230933695,-0.019591169904609906,-0.01760857017142417,-0.018604854477030572,-0.01869055106527222,-0.01939501099527013,1,1561027387821
-0.014230461624915794,-0.01232081798563218,-0.019406052757031052,-0.019586029003385186,-0.017603205752754897,-0.018599735927550307,-0.018684806666947208,-0.01938911013473393,1,1561027387827
-0.014233188537739342,-0.012323634305433548,-0.0194091820012548,-0.019589560579009124,-0.017606223238256363,-0.018603043985729692,-0.018686438344292445,-0.019391501771390648,1,1561027387827
-0.014237971811052777,-0.012328417578746984,-0.01941441230945734,-0.019595304977334138,-0.017611699415647913,-0.018608318997421144,-0.018690305196083213,-0.01939644150691527,1,1561027387833
-0.014241123407020976,-0.012331591526459637,-0.019417854478103458,-0.01959838951806897,-0.017614828659871656,-0.01861191762827845,-0.01869399323391834,-0.01940015189649485,1,1561027387834
-0.01424105635178761,-0.012331569174715182,-0.01941756390542554,-0.019597651910501945,-0.017614314569749184,-0.018611560000367164,-0.018694730841485364,-0.019400241303472673,1,1561027387839
-0.014250064104803098,-0.012340308706797207,-0.019426012864829645,-0.019606503201306247,-0.01762314350880903,-0.018620165421982457,-0.018703828001478674,-0.019408220876243217,1,1561027387840
-0.014264190407298852,-0.012353853863937123,-0.019440027408603122,-0.01962100948345774,-0.01763733686653815,-0.01863433642796712,-0.018717395510363045,-0.01942194484733878,1,1561027387846
-0.014275366279526506,-0.012364605053020125,-0.019451583260486516,-0.019632900611507964,-0.01764887036667709,-0.018646384018228532,-0.01872899606573535,-0.019433724216666726,1,1561027387846
-0.014282228265074285,-0.012371377631590083,-0.019458311135567563,-0.019639516727866735,-0.017655687648735957,-0.018653134245054034,-0.018736483900127877,-0.01944089912663688,1,1561027387852
-0.01428558102674258,-0.012374708041513924,-0.019460792179202102,-0.01964164014358999,-0.017657878119692577,-0.018655212957288378,-0.018739501385629343,-0.019444050722605077,1,1561027387852
